base1,shoulder1,elbow1,base2,shoulder2,elbow2,base3,shoulder3,elbow3,base4,shoulder4,elbow4,base5,shoulder5,elbow5,base6,shoulder6,elbow6,com_vx,com_vy,com_wz,height,e1x,e1y,e1z,e2x,e2y,e2z,e3x,e3y,e3z,e4x,e4y,e4z,e5x,e5y,e5z,e6x,e6y,e6z
-0.00096265913,-0.014255487,-1.8177235,-0.003761006,0.005750475,1.7214562,0.002103859,0.009128945,-1.6294053,-0.0005897694,-0.017121932,1.1280063,-0.00026367814,0.013188384,-1.49342,0.00040500358,-0.06786956,1.1861942,0.2,0.0,0.0,0.29616866,0.43291304,0.19689576,-0.20866847,0.45776987,-0.2162424,-0.2192929,0.048472367,0.48508358,-0.21642795,0.04240902,-0.6509205,-0.1904194,-0.48266605,0.3345659,-0.21421802,-0.5636956,-0.3714575,-0.19944535
-0.0012148398,-0.032826338,-1.7713398,-0.0035918402,-0.03108783,1.7276396,0.01623859,0.022873672,-1.6134175,5.7783658e-05,-0.01702334,1.1637052,0.0013824741,0.007904392,-1.4980464,-0.01233938,-0.12987262,1.2267687,0.2,0.0,0.0,0.2890775,0.44329235,0.20611136,-0.21185836,0.4634922,-0.21991982,-0.22417285,0.04469417,0.48869962,-0.21539114,0.039492838,-0.63254356,-0.20149338,-0.4762109,0.3306691,-0.20661622,-0.5457424,-0.35760218,-0.21425883
-0.006700804,-0.05582843,-1.7259241,-0.0106062945,-0.033836953,1.7296294,0.027254898,0.039206933,-1.591822,0.003285877,-0.010139947,1.1905748,0.0026754353,-0.00011872695,-1.4911317,-0.027135666,-0.15049678,1.2565765,0.2,0.0,0.0,0.2785115,0.45842555,0.21432659,-0.2111065,0.4483149,-0.21439175,-0.23429129,0.03919823,0.48987463,-0.21648459,0.03522029,-0.62241846,-0.20271562,-0.4782055,0.33185852,-0.19668962,-0.5248558,-0.33548132,-0.23415475
-0.009291124,-0.06804812,-1.6837789,-0.009132937,-0.027990587,1.7394344,0.026965708,0.02903971,-1.5930467,0.00580525,-0.013349065,1.2272578,0.0078821555,-0.007627678,-1.4941993,-0.05934455,-0.14672278,1.2768931,0.2,0.0,0.0,0.27147767,0.4733447,0.2202318,-0.21550241,0.44077232,-0.21804577,-0.24174795,0.032717235,0.49058905,-0.22683531,0.029996347,-0.61773473,-0.2049069,-0.48562935,0.33447963,-0.19368498,-0.5200207,-0.3224309,-0.24178803
-0.011773978,-0.075649686,-1.6466725,-0.010911383,-0.03342089,1.7370406,0.030718202,0.014034887,-1.6081092,0.013382989,-0.01342892,1.268636,0.023141304,-0.0015948213,-1.5119296,-0.0654,-0.14038485,1.2811625,0.2,0.0,0.0,0.26969695,0.48341653,0.22657499,-0.22323844,0.44018415,-0.21899366,-0.23964928,0.025160935,0.48714796,-0.23982476,0.03541871,-0.61164075,-0.20188406,-0.49375308,0.32240233,-0.20405197,-0.5208939,-0.32299125,-0.23992765
-0.016854635,-0.080327675,-1.614648,-0.012031371,-0.042125866,1.7354717,0.038721785,0.00943166,-1.6112396,0.019964948,-0.01729417,1.3043739,0.02429249,-0.0050647533,-1.5310669,-0.070391804,-0.13827762,1.2796289,0.2,0.0,0.0,0.26969385,0.49539703,0.23314859,-0.22286138,0.43960947,-0.21858516,-0.23965776,0.023555938,0.48715535,-0.23978531,0.039243326,-0.5991659,-0.20391543,-0.49105126,0.3136168,-0.21240541,-0.5221849,-0.32268664,-0.2397226
-0.023612892,-0.08323006,-1.5863811,-0.012276792,-0.04927939,1.736085,0.048192833,0.006962027,-1.6115648,0.025995672,-0.020496793,1.3361849,0.023505798,-0.01059262,-1.5482017,-0.0753972,-0.13590886,1.2774822,0.2,0.0,0.0,0.2696998,0.5060622,0.23713668,-0.22056168,0.4378896,-0.21782905,-0.23966852,0.021283107,0.4876745,-0.23974463,0.04196926,-0.58722687,-0.20674711,-0.48688087,0.31062812,-0.21438365,-0.523769,-0.32212827,-0.23970014
-0.031172039,-0.084983654,-1.5612934,-0.012979607,-0.054984793,1.7386347,0.058477122,0.0050471392,-1.611425,0.032819845,-0.023325453,1.3641143,0.022158602,-0.0160554,-1.5597407,-0.0803021,-0.13336568,1.2747836,0.2,0.0,0.0,0.269564,0.51558787,0.23946954,-0.21821871,0.43608585,-0.21692769,-0.23954828,0.018670032,0.48833472,-0.23959516,0.04430034,-0.5766774,-0.20927645,-0.48327094,0.30882284,-0.21470015,-0.52566034,-0.32158396,-0.23954558
-0.039327864,-0.0859714,-1.5378704,-0.0137682455,-0.059642207,1.7427623,0.06897176,0.0033899297,-1.6112406,0.040721595,-0.025717627,1.3892978,0.020822542,-0.020296076,-1.567197,-0.08454558,-0.1309712,1.2712712,0.2,0.0,0.0,0.269329,0.5239625,0.24098745,-0.21610065,0.43414095,-0.21587206,-0.23932818,0.015590776,0.48901942,-0.23934698,0.046982072,-0.5672229,-0.21153033,-0.48118407,0.30789858,-0.2145151,-0.5277102,-0.32122755,-0.23930572
-0.04882477,-0.08643021,-1.5182137,-0.014945187,-0.062416557,1.74856,0.08056332,0.0021150934,-1.6110817,0.049803175,-0.027396282,1.4121977,0.019398855,-0.022697503,-1.5731297,-0.08815362,-0.12925526,1.2669264,0.2,0.0,0.0,0.2689793,0.5318936,0.24170531,-0.21415205,0.43201596,-0.21484709,-0.23897985,0.0126221385,0.48965794,-0.23900068,0.049812548,-0.55857104,-0.21340874,-0.47975278,0.3076061,-0.21433264,-0.52990806,-0.3208953,-0.23894495
